resource_id,resource_type,name,environment,region,instance_type,status,monthly_cost,owner,created_date,tags
i-0a1b2c3d4e5f6g7h8,EC2,prod-web-server-01,Production,us-east-1,m5.xlarge,Running,180.00,David Kim,2022-03-15,"app:web,env:prod,team:platform"
i-1b2c3d4e5f6g7h8i9,EC2,prod-web-server-02,Production,us-east-1,m5.xlarge,Running,180.00,David Kim,2022-03-15,"app:web,env:prod,team:platform"
i-2c3d4e5f6g7h8i9j0,EC2,prod-api-server-01,Production,us-east-1,m5.2xlarge,Running,360.00,David Kim,2022-04-01,"app:api,env:prod,team:platform"
i-3d4e5f6g7h8i9j0k1,EC2,prod-api-server-02,Production,us-east-1,m5.2xlarge,Running,360.00,David Kim,2022-04-01,"app:api,env:prod,team:platform"
i-4e5f6g7h8i9j0k1l2,EC2,staging-web-server-01,Staging,us-east-1,t3.large,Running,65.00,Marcus Johnson,2022-05-10,"app:web,env:staging,team:platform"
i-5f6g7h8i9j0k1l2m3,EC2,dev-server-01,Development,us-west-2,t3.medium,Running,35.00,Priya Sharma,2023-01-20,"app:dev,env:dev,team:engineering"
db-prod-primary,RDS,northstar-prod-db,Production,us-east-1,db.r5.2xlarge,Available,850.00,David Kim,2022-03-01,"app:database,env:prod,team:platform"
db-prod-replica,RDS,northstar-prod-replica,Production,us-east-1,db.r5.2xlarge,Available,850.00,David Kim,2022-03-01,"app:database,env:prod,team:platform"
db-staging,RDS,northstar-staging-db,Staging,us-east-1,db.t3.large,Available,120.00,Marcus Johnson,2022-05-10,"app:database,env:staging,team:platform"
cache-prod-01,ElastiCache,prod-redis-cluster,Production,us-east-1,cache.r5.large,Available,275.00,David Kim,2022-06-15,"app:cache,env:prod,team:platform"
s3-prod-assets,S3,northstar-prod-assets,Production,us-east-1,Standard,Active,450.00,David Kim,2021-08-01,"app:storage,env:prod,team:platform"
s3-prod-backups,S3,northstar-prod-backups,Production,us-east-1,Glacier,Active,125.00,David Kim,2021-08-01,"app:backup,env:prod,team:platform"
s3-logs,S3,northstar-application-logs,Production,us-east-1,Standard-IA,Active,85.00,Ryan Hall,2021-09-15,"app:logging,env:prod,team:security"
cf-prod-dist,CloudFront,prod-cdn-distribution,Production,Global,N/A,Deployed,320.00,David Kim,2022-02-01,"app:cdn,env:prod,team:platform"
lambda-auth,Lambda,auth-service-handler,Production,us-east-1,N/A,Active,45.00,Jessica Walker,2022-07-20,"app:auth,env:prod,team:engineering"
lambda-notifications,Lambda,notification-processor,Production,us-east-1,N/A,Active,28.00,Jessica Walker,2022-08-05,"app:notifications,env:prod,team:engineering"
sqs-orders,SQS,order-processing-queue,Production,us-east-1,Standard,Active,15.00,Marcus Johnson,2022-04-15,"app:orders,env:prod,team:engineering"
sns-alerts,SNS,system-alerts-topic,Production,us-east-1,N/A,Active,8.00,Ryan Hall,2022-01-10,"app:monitoring,env:prod,team:security"
eks-prod,EKS,northstar-prod-cluster,Production,us-east-1,N/A,Active,73.00,David Kim,2023-02-01,"app:kubernetes,env:prod,team:platform"
alb-prod,ALB,prod-application-lb,Production,us-east-1,N/A,Active,22.00,David Kim,2022-03-15,"app:loadbalancer,env:prod,team:platform"
